,Festivos,AÑO,SEMANA,MES,Municipio
70,2019-03-19,2019,12,3,Tarancón
71,2019-09-08,2019,36,9,Tarancón
72,2017-04-25,2017,17,4,Quintanar del Rey
73,2017-05-15,2017,20,5,Quintanar del Rey
74,2018-04-25,2018,17,4,Quintanar del Rey
75,2018-05-15,2018,20,5,Quintanar del Rey
76,2019-04-25,2019,17,4,Quintanar del Rey
77,2019-05-15,2019,20,5,Quintanar del Rey
78,2017-09-08,2017,36,9,Guadalajara
79,2017-09-14,2017,37,9,Guadalajara
80,2018-09-08,2018,36,9,Guadalajara
81,2018-09-14,2018,37,9,Guadalajara
82,2019-09-08,2019,36,9,Guadalajara
83,2019-09-14,2019,37,9,Guadalajara
84,2017-05-15,2017,20,5,Azuqueca de Henares
85,2017-09-17,2017,37,9,Azuqueca de Henares
86,2018-05-15,2018,20,5,Azuqueca de Henares
87,2018-09-17,2018,38,9,Azuqueca de Henares
88,2019-05-15,2019,20,5,Azuqueca de Henares
89,2019-09-17,2019,38,9,Azuqueca de Henares
90,2017-01-24,2017,4,1,Alovera
91,2017-09-07,2017,36,9,Alovera
92,2018-01-24,2018,4,1,Alovera
93,2018-09-07,2018,36,9,Alovera
94,2019-01-24,2019,4,1,Alovera
95,2019-09-07,2019,36,9,Alovera
96,2017-02-05,2017,5,2,El Casar
97,2017-09-03,2017,35,9,El Casar
98,2018-02-05,2018,6,2,El Casar
99,2018-09-03,2018,36,9,El Casar
100,2019-02-05,2019,6,2,El Casar
101,2019-09-03,2019,36,9,El Casar
102,2017-02-02,2017,5,2,Cabanillas del Campo
103,2017-05-04,2017,18,5,Cabanillas del Campo
104,2018-02-02,2018,5,2,Cabanillas del Campo
105,2018-05-04,2018,18,5,Cabanillas del Campo
106,2019-02-02,2019,5,2,Cabanillas del Campo
107,2019-05-04,2019,18,5,Cabanillas del Campo
108,2017-01-23,2017,4,1,Toledo
109,2017-04-02,2017,13,4,Toledo
110,2018-01-23,2018,4,1,Toledo
111,2018-04-02,2018,14,4,Toledo
112,2019-01-23,2019,4,1,Toledo
113,2019-04-02,2019,14,4,Toledo
114,2017-05-15,2017,20,5,Talavera de la Reina
115,2017-09-08,2017,36,9,Talavera de la Reina
116,2018-05-15,2018,20,5,Talavera de la Reina
117,2018-09-08,2018,36,9,Talavera de la Reina
118,2019-05-15,2019,20,5,Talavera de la Reina
119,2019-09-08,2019,36,9,Talavera de la Reina
120,2017-03-12,2017,10,3,Illescas
121,2017-08-31,2017,35,8,Illescas
122,2018-03-12,2018,11,3,Illescas
123,2018-08-31,2018,35,8,Illescas
124,2019-03-12,2019,11,3,Illescas
125,2019-08-31,2019,35,8,Illescas
126,2017-05-15,2017,20,5,Seseña
127,2017-08-16,2017,33,8,Seseña
128,2018-05-15,2018,20,5,Seseña
129,2018-08-16,2018,33,8,Seseña
130,2019-05-15,2019,20,5,Seseña
131,2019-08-16,2019,33,8,Seseña
132,2017-05-19,2017,20,5,Torrijos
133,2017-09-01,2017,35,9,Torrijos
134,2018-05-19,2018,20,5,Torrijos
135,2018-09-01,2018,35,9,Torrijos
136,2019-05-19,2019,20,5,Torrijos
137,2019-09-01,2019,35,9,Torrijos
